ROOT,LEMMA,POS,LEMMA_ARA,DER_CLASS,GLOSS,FUNCTION,PATTERN_ABSTRACT,PARENT_LEMMA,PARENT_POS,PARENT_LEMMA_ARA,PARENT_DER_CLASS,PARENT_GLOSS,PARENT_FUNCTION,PARENT_PATTERN_ABSTRACT
$.*.*,$a*~-i,VERB,شَذّ-ِ,VERB_I,be_separate;deviate,gem trans,1a2a3,$.*.*,ROOT,,ROOT,,,ROOT
$.*.*,$a*~,NOUN,شَذّ,N_VERB_I,abnormality;deviation;exception,-,1a2o3,$a*~-i,VERB,شَذّ-ِ,VERB_I,be_separate;deviate,gem trans,1a2a3
$.*.*,$aA*~,ADJ,شَاذّ,ACT_PRTC,deviant,-,1A2i3,$a*~-i,VERB,شَذّ-ِ,VERB_I,be_separate;deviate,gem trans,1a2a3
$.*.*,$a*~-u,VERB,شَذّ-ُ,VERB_I,be_separate;deviate,gem trans,1a2a3,$.*.*,ROOT,,ROOT,,,ROOT
$.*.*,$a*~,NOUN,شَذّ,N_VERB_I,abnormality;deviation;exception,-,1a2o3,$a*~-u,VERB,شَذّ-ُ,VERB_I,be_separate;deviate,gem trans,1a2a3
$.*.*,$aA*~,ADJ,شَاذّ,ACT_PRTC,deviant,-,1A2i3,$a*~-u,VERB,شَذّ-ُ,VERB_I,be_separate;deviate,gem trans,1a2a3
$.*.b,$a*ab-i,VERB,شَذَب-ِ,VERB_I,adapt;clip;sever,trans,1a2a3,$.*.b,ROOT,,ROOT,,,ROOT
$.*.b,$a*~ab,VERB,شَذَّب,VERB_II,adapt;clip;sever,trans,1a2~a3,$a*ab-i,VERB,شَذَب-ِ,VERB_I,adapt;clip;sever,trans,1a2a3
$.*.b,$a*ab-u,VERB,شَذَب-ُ,VERB_I,adapt;clip;sever,trans,1a2a3,$.*.b,ROOT,,ROOT,,,ROOT
$.*.b,$a*~ab,VERB,شَذَّب,VERB_II,adapt;clip;sever,trans,1a2~a3,$a*ab-u,VERB,شَذَب-ُ,VERB_I,adapt;clip;sever,trans,1a2a3
$.>.w,$a>aw-u,VERB,شَأَو-ُ,VERB_I,outrace;overtake,trans,1a2a3,$.>.w,ROOT,,ROOT,,,ROOT
$.>.w,$a>ow,NOUN,شَأْو,N_VERB_I,goal;summit,-,1a2o3,$a>aw-u,VERB,شَأَو-ُ,VERB_I,outrace;overtake,trans,1a2a3
$.E.E,$aE~-i,VERB,شَعّ-ِ,VERB_I,disperse;radiate,gem trans,1a2a3,$.E.E,ROOT,,ROOT,,,ROOT
$.E.E,$uEaAE,NOUN,شُعَاع,N_VERB_I,ray,-,1u2A3,$aE~-i,VERB,شَعّ-ِ,VERB_I,disperse;radiate,gem trans,1a2a3
$.E.E,$uEaAEiy~,ADJ,شُعَاعِيّ,ATTR_ADJ,radiation,-,1u2A3+iy~,$uEaAE,NOUN,شُعَاع,N_VERB_I,ray,-,1u2A3
$.E.E,>a$aE~,VERB,أَشَعّ,VERB_IV,emit_rays;radiate,gem trans,>a1o2a3,$aE~-i,VERB,شَعّ-ِ,VERB_I,disperse;radiate,gem trans,1a2a3
$.E.E,<i$oEaAE,NOUN,إِشْعَاع,N_VERB_IV,irradiation;radiation,-,<i1o2A3,>a$aE~,VERB,أَشَعّ,VERB_IV,emit_rays;radiate,gem trans,>a1o2a3
$.E.E,<i$oEaAEiy~,ADJ,إِشْعَاعِيّ,ATTR_ADJ,radiation;radiative,-,<i1o2A3+iy~,<i$oEaAE,NOUN,إِشْعَاع,N_VERB_IV,irradiation;radiation,-,<i1o2A3
