ROOT,LEMMA,LEMMA_ARA,PATTERN_ABSTRACT,PATTERN,GLOSS,FUNCTION,POS
*.>.b,{isota*o>ab,ٱِسْتَذْأَب,{isota1o2a3_INTRANS,{isota1o2a3,be_lupine;be_wolflike,INTRANS,VERB
*.>.b,*i}ob,ذِئْب,1i2o3,1i}o3,jackal;wolf,-,NOUN
*.>.b,*u&aAbap,ذُؤَابَة,1u2A3+ap,1u&aA3,lock;strand;tuft,-,NOUN
*.b.*.b,*abo*ab,ذَبْذَب,1a2o3a4,1a2o3a4,dangle;swing,trans,VERB
*.b.*.b,ta*abo*ab,تَذَبْذَب,ta1a2o3a4,ta1a2o3a4,fluctuate;oscillate;waver,trans,VERB
*.b.*.b,*abo*abap,ذَبْذَبَة,1a2o3a4+ap,1a2o3a4,frequency;oscillation;vibration,-,NOUN
*.b.*.b,mu*abo*ib,مُذَبْذِب,mu1a2o3i4,mu1a2o3i4,oscillator,-,NOUN
*.b.*.b,ta*abo*ub,تَذَبْذُب,ta1a2o3u4,ta1a2o3u4,fluctuation;oscillation,-,NOUN
*.b.*.b,mu*abo*ab,مُذَبْذَب,mu1a2o3a4,mu1a2o3a4,fluctuating;wavering,-,ADJ
*.b.*.b,muta*abo*ib,مُتَذَبْذِب,muta1a2o3i4,muta1a2o3i4,oscillating,-,ADJ
*.b.b,*ab~-u,ذَبّ-ُ,1a2a3,1a2~,defend;drive_away,gem trans,VERB
*.b.b,*ab~-u,ذَبّ-ُ,1a2a3,1a2a3,defend;drive_away,gem trans,VERB
*.b.b,*ub~aAnap,ذُبَّانَة,1u2o3An+ap,1u2~aAn,bead;fly;sight,-,NOUN
*.b.b,*ubaAb,ذُبَاب,1u2A3,1u2aA3,fly,-,NOUN
*.b.b,*ubaAbap,ذُبَابَة,1u2A3+ap,1u2aA3,fly;tip,-,NOUN
*.b.b,mi*ab~ap,مِذَبَّة,mi1o2a3+ap,mi1a2~,fly_swatter,-,NOUN
*.b.H,*ab~aH,ذَبَّح,1a2~a3,1a2~a3,massacre;sacrifice;slaughter,trans,VERB
*.b.H,*abaH-a,ذَبَح-َ,1a2a3,1a2a3,massacre;sacrifice;slaughter,trans,VERB
*.b.H,*ab~aAH,ذَبَّاح,1a2~A3,1a2~aA3,butcher;slaughterer,-,NOUN
*.b.H,*abiyHap,ذَبِيحَة,1a2iy3+ap,1a2iy3,sacrifice_victim;slaughter_animal,-,NOUN
*.b.H,*aboH,ذَبْح,1a2o3,1a2o3,slaughter;slaughtering,-,NOUN
*.b.H,*iboHap,ذِبْحَة,1i2o3+ap,1i2o3,angina;diphtheria,-,NOUN
*.b.H,ma*obaH,مَذْبَح,ma1o2a3,ma1o2a3,slaughterhouse,-,NOUN
*.b.H,ma*obaHap,مَذْبَحَة,ma1o2a3+ap,ma1o2a3,massacre;slaughter;slaughterhouse,-,NOUN
*.b.H,*abiyH,ذَبِيح,1a2iy3,1a2iy3,slaughtered,-,ADJ
*.b.H,ma*obuwH,مَذْبُوح,ma1o2uw3,ma1o2uw3,slaughtered,-,ADJ
*.b.l,*abal-u,ذَبَل-ُ,1a2a3,1a2a3,fade;waste_away;wilt,trans,VERB
*.b.l,*abul-u,ذَبُل-ُ,1a2u3,1a2u3,fade;waste_away;wilt,trans,VERB
*.b.l,*abol,ذَبْل,1a2o3,1a2o3,mother_of_pearl,-,NOUN
*.b.l,*ubaAlap,ذُبَالَة,1u2A3+ap,1u2aA3,wick,-,NOUN
*.b.l,*aAbil,ذَابِل,1A2i3,1aA2i3,faded;feeble;wilted,-,ADJ
*.E.f,*uEaAf,ذُعَاف,1u2A3,1u2aA3,lethal,-,NOUN
*.E.n,*aEin-a,ذَعِن-َ,1a2i3,1a2i3,obey;submit;yield,#n trans,VERB
*.E.n,>a*oEan,أَذْعَن,>a1o2a3,>a1o2a3,obey;submit;yield,#n trans,VERB
*.E.n,<i*oEaAn,إِذْعَان,<i1o2A3,<i1o2aA3,compliance;obedience;submissiveness,-,NOUN
*.E.n,mu*aAEanap,مُذَاعَنَة,mu1A2a3+ap,mu1aA2a3,compliance;obedience;submissiveness,-,NOUN
*.E.n,mi*oEaAn,مِذْعَان,mi1o2A3,mi1o2aA3,compliant;obedient;tractable,-,ADJ
*.E.n,mu*oEin,مُذْعِن,mu1o2i3,mu1o2i3,compliant;obedient;submissive,-,ADJ
*.E.q,*aEaq-a,ذَعَق-َ,1a2a3,1a2a3,frighten;startle,trans,VERB
*.E.q,*aEoq,ذَعْق,1a2o3,1a2o3,frightening;startling,-,NOUN
*.E.r,{ino*aEar,ٱِنْذَعَر,{ino1a2a3,{ino1a2a3,panic,trans,VERB
*.E.r,*aEar-a,ذَعَر-َ,1a2a3,1a2a3,frighten,trans,VERB
*.E.r,*aEir-a,ذَعِر-َ,1a2i3_INTRANS,1a2i3,be_frightened,INTRANS,VERB
*.E.r,>a*oEar,أَذْعَر,>a1o2a3,>a1o2a3,frighten,trans,VERB
*.E.r,ta*aE~ar,تَذَعَّر,ta1a2~3,ta1a2~a3,panic,trans,VERB
*.E.r,*aEor,ذَعْر,1a2o3,1a2o3,fright;panic,-,NOUN
*.E.r,*uEor,ذُعْر,1u2o3,1u2o3,fright;panic,-,NOUN
*.E.r,ma*oEuwr,مَذْعُور,ma1o2uw3,ma1o2uw3,frighted,-,ADJ
*.f.r,*afar,ذَفَر,1a2a3,1a2a3,stench,-,NOUN
*.h.b,*ah~ab,ذَهَّب,1a2~a3,1a2~a3,gild,trans,VERB
*.h.b,*ahab-a,ذَهَب-َ,1a2a3,1a2a3,depart;go;take_(with),trans,VERB
*.h.b,>a*ohab,أَذْهَب,>a1o2a3,>a1o2a3,eliminate;remove,trans,VERB
*.h.b,*aAhib,ذَاهِب,1A2i3,1aA2i3,going,-,NOUN
*.h.b,*ahaAb,ذَهَاب,1a2A3,1a2aA3,departure;going,-,NOUN
*.h.b,*ahab,ذَهَب,1a2a3,1a2a3,gold,-,NOUN
*.h.b,*uhuwb,ذُهُوب,1u2uw3,1u2uw3,going,-,NOUN
*.h.b,laAma*ohabiy~ap,لَامَذْهَبِيَّة,lA+ma1o2a3+iy~ap,laAma1o2a3iy~,ideological_indifference;non_denominationalism,-,NOUN
*.h.b,ma*ohab,مَذْهَب,ma1o2a3,ma1o2a3,ideology;manner;path;sect;trend,-,NOUN
*.h.b,ma*ohabiy~ap,مَذْهَبِيَّة,ma1o2a3+iy~ap,ma1o2a3iy~,sectarianism,-,NOUN
*.h.b,tama*ohub,تَمَذْهُب,tama1o2u3,tama1o2u3,following;following_(as_a_disciple),-,NOUN
*.h.b,*aAhib,ذَاهِب,1A2i3,1aA2i3,going,-,ADJ
*.h.b,*ahabiy~,ذَهَبِيّ,1a2a3+iy~,1a2a3iy~,gilded;golden,-,ADJ
*.h.b,laAma*ohabiy~,لَامَذْهَبِيّ,lA+ma1o2a3+iy~,laAma1o2a3iy~,ideologically_indifferent,-,ADJ
*.h.b,ma*ohabiy~,مَذْهَبِيّ,ma1o2a3+iy~,ma1o2a3iy~,doctrinal;sectarian,-,ADJ
*.h.b,mu*ah~ab,مُذَهَّب,mu1a2~a3,mu1a2~a3,gilded;golden,-,ADJ
*.h.b,mutama*ohib,مُتَمَذْهِب,mutama1o2i3,mutama1o2i3,following;following_(as_a_disciple),-,ADJ
*.h.l,{ino*ahal,ٱِنْذَهَل,{ino1a2a3_INTRANS,{ino1a2a3,be_dazed;be_stunned;overlook,INTRANS,VERB
*.h.l,*ahal-a,ذَهَل-َ,1a2a3_INTRANS,1a2a3,be_dazed;be_stunned;overlook,INTRANS,VERB
*.h.l,>a*ohal,أَذْهَل,>a1o2a3,>a1o2a3,baffle;distract,trans,VERB
