ROOT,LEMMA,PATTERN_ABSTRACT,PATTERN,LEMMA_ARA,GLOSS,FUNCTION,POS, 
>.d.b,>adab,1a2a3,>a2a3,أَدَب,etiquette;good_manner;literature,,NOUN,
>.d.b,>adob,1a2o3,>a2o3,أَدْب,entertainment;invitation,,NOUN,
>.d.b,ta>odiyb,ta1o2iy3,ta>o2iy3,تَأْدِيب,chastisement;education,,NOUN,
>.d.b,>adiyb,1a2iy3,>a2iy3,أَدِيب,author;writer,,NOUN,
>.d.b,>ad~ab,1a2~a3,1a2~a3,أَدَّب,discipline;educate,trans,VERB,
>.d.b,|dib,1A2i3,|2i3,آدِب,host,,NOUN,
>.d.b,>adab,1A2A3,|2aA3,أَدَب,etiquette;good_manner;literature,,NOUN,
>.d.b,ta>ad~ub,ta1a2~u3,ta>a2~u3,تَأَدُّب,civility;courtesy,,NOUN,
>.d.b,ma>odubap,ma1A2i3,ma|2i3,مَأْدُبَة,banquet;reception,,NOUN,
>.d.b,muta>ad~ib,muta1a2~i3,muta>a2~i3,مُتَأَدِّب,courteous,,NOUN,
>.d.b,mu&ad~ab,mu1a2~a3,mu&a2~a3,مُؤَدَّب,urbane;well-bred,,NOUN,
>.d.b,mu&ad~ib,mu1a2~i3,mu&a2~i3,مُؤَدِّب,educator,,NOUN,
>.d.b,>adabiy~aAt,1a2a3+iy~+At,>a2a3iy~,أَدَبِيَّات,literature,,NOUN,
>.d.b,>adiyb,1u2a3A',>u2a3aA,أَدِيب,author;writer,,NOUN,
>.d.b,ma>odubap,ma1o2u3+ap,ma>o2u3,مَأْدُبَة,banquet;reception,,NOUN,
>.d.b,>adabiy~,1a2a3+iy~,>a2a3iy~,أَدَبِيّ,ethical;literary;moral,,ADJ,
>.d.b,ta>odiybiy~,ta1o2iy3+iy~,ta>o2iy3iy~,تَأْدِيبِيّ,disciplinary;punitive,,ADJ,
>.d.b,>adab,1a2a3,1a2a3,أَدَب,entertain;invite,trans,VERB,
>.d.b,>adub,1a2a3,1a2u3,أَدُب,be_courteous;be_urbane,trans,VERB,
>.d.b,|dab,1A2a3,12a3,آدَب,invite,trans,VERB,
>.d.b,ta>ad~ab,ta1a2~3_INTRANS,ta1a2~a3,تَأَدَّب,be_disciplined;be_educated,intrans,VERB,
>.d.b,>.d.b,ROOT,ROOT,أ.د.ب,,,ROOT,
>.m.n,{i}otaman,{i1ota2a3,{i1ota2a3,ٱِئْتَمَن,entrust;trust,#n trans,VERB,
>.m.n,{isota>oman,{isota1o2a3,{isota1o2a3,ٱِسْتَأْمَن,be_confident;have_confidence,#n trans,VERB,
>.m.n,>am~an,1a2~a3,1a2~a3,أَمَّن,guarantee;insure;secure,#n trans,VERB,
>.m.n,>amin,1a2a3_INTRANS,1a2i3,أَمِن,be_safe;be_secure,intrans,VERB,
>.m.n,>amun,1a2a3_INTRANS,1a2u3,أَمُن,be_loyal;be_reliable,intrans,VERB,
>.m.n,|man,1A2a3,12a3,آمَن,believe,#n trans,VERB,
>.m.n,>amon,1a2o3,>a2o3,أَمْن,safety;security,,NOUN,
>.m.n,ta>omiyn,ta1o2iy3,ta>o2iy3,تَأْمِين,guarantee;insurance,,NOUN,
>.m.n,>amiyn,1a2iy3,>a2iy3,أَمِين,amine_(chem.),,NOUN,
>.m.n,>amiyn,1a2iy3,>a2iy3,أَمِين,faithful;loyal;secretary;trustee,,NOUN,
>.m.n,<iymaAn,1iy2A3,<iy2aA3,إِيمَان,belief;faith,,NOUN,
>.m.n,>amaAn,1a2A3,>a2aA3,أَمَان,protection;safety,,NOUN,
>.m.n,>amaAnap,1a2A3+ap,>a2aA3,أَمَانَة,deposit;faithfulness;loyalty;secretariat,,NOUN,
>.m.n,ma>oman,ma1A2i3,ma|2i3,مَأْمَن,refuge;shelter,,NOUN,
>.m.n,ma>omuwn,ma1o2uw3,ma>o2uw3,مَأْمُون,loyal;trustworthy,,NOUN,
>.m.n,mu&am~in,mu1a2~i3,mu&a2~i3,مُؤَمِّن,guarantor;insurer,,NOUN,
>.m.n,ma>oman,ma1o2a3,ma>o2a3,مَأْمَن,refuge;shelter,,NOUN,
>.m.n,>amiyn,1u2a3A',>u2a3aA,أَمِين,faithful;loyal;secretary;trustee,,NOUN,
>.m.n,mu&omin,mu1o2i3,mu&o2i3,مُؤْمِن,believer;believer_(Muslim),,NOUN,
>.m.n,{i}otimaAn,{i1oti2A3,{i}oti2aA3,ٱِئْتِمَان,credit;trust,,NOUN,
>.m.n,musota>omin,musota1o2i3,musota>o2i3,مُسْتَأْمِن,protege;protégé,,NOUN,
>.m.n,<iymaAniy~,1i2A3+iy~,<iy2aA3iy~,إِيمَانِيّ,belief;faith,,ADJ,
>.m.n,>amiyn,1a2iy3,>a2iy3,أَمِين,faithful;loyal,,ADJ,
>.m.n,>amiyn,1u2a3A',>u2a3aA,أَمِين,faithful;loyal,,ADJ,
>.m.n,>amiyniy~,1a2iy3+iy~,>a2iy3iy~,أَمِينِيّ,amino,,ADJ,
>.m.n,>amoniy~,1a2o3+iy~,>a2o3iy~,أَمْنِيّ,safety;security,,ADJ,
>.m.n,|min,1A2i3,|2i3,آمِن,safe;secure,,ADJ,
>.m.n,ma>omuwn,ma1o2uw3,ma>o2uw3,مَأْمُون,loyal;trustworthy,,ADJ,
>.m.n,mu&am~an,mu1a2~a3,mu&a2~a3,مُؤَمَّن,guaranteed;insured,,ADJ,
>.m.n,mu&am~in,mu1a2~i3,mu&a2~i3,مُؤَمِّن,guaranteeing;insuring,,ADJ,
>.m.n,mu&omin,mu1o2i3,mu&o2i3,مُؤْمِن,believing,,ADJ,
>.m.n,mu&otaman,mu1ota2a3,mu&ota2a3,مُؤْتَمَن,entrusted;trustworthy,,ADJ,
>.m.n,musota>omin,musota1o2i3,musota>o2i3,مُسْتَأْمِن,protg,,ADJ,
>.m.n,ta>omiyniy~,ta1o2iy3+iy~,ta>o2iy3iy~,تَأْمِينِيّ,guarantee;insurance,,ADJ,
>.m.n,>.m.n,ROOT,ROOT,أ.م.ن,,,ROOT,
$.r.b,>a$orab,>a1o2a3,>a1o2a3,أَشْرَب,give_to_drink;make_drink,trans,VERB,
$.r.b,$ar~ab,1a2~a3,1a2~a3,شَرَّب,make_drink,trans,VERB,
$.r.b,$aArab,1A2a3,1aA2a3,شَارَب,drink_with,trans,VERB,
$.r.b,$arib,1a2a3,1a2i3,شَرِب,drink,ditrans,VERB,
$.r.b,ta$ar~ab,ta1a2~3,ta1a2~a3,تَشَرَّب,absorb,trans,VERB,
$.r.b,$arobap,1a2o3+ap,1a2o3,شَرْبَة,drink;drinking;sip;sipping;soup,,NOUN,
$.r.b,ta$oriyb,ta1o2iy3,ta1o2iy3,تَشْرِيب,impregnation,,NOUN,
$.r.b,$araAb,1a2A3,1a2aA3,شَرَاب,beverage;drink,,NOUN,
$.r.b,$aArib,1A2i3,1aA2i3,شَارِب,drinker,,NOUN,
$.r.b,$aArib,1A2i3,1aA2i3,شَارِب,mustache,,NOUN,
$.r.b,$urob,1u2o3,1u2o3,شُرْب,drinking,,NOUN,
$.r.b,$urobap,1u2o3+ap,1u2o3,شُرْبَة,drink;sip;soup,,NOUN,
$.r.b,ta$ar~ub,ta1a2~u3,ta1a2~u3,تَشَرُّب,absorption;imbibing,,NOUN,
$.r.b,ma$orab,ma1o2a3,ma1o2a3,مَشْرَب,drink;drinking_place,,NOUN,
$.r.b,ma$orabap,ma1o2a3+ap,ma1o2a3,مَشْرَبَة,drinking_place,,NOUN,
$.r.b,ma$oruwb,ma1o2uw3,ma1o2uw3,مَشْرُوب,beverage;drink,,NOUN,
$.r.b,$arobap,1u2a3-At,1u2a3,شَرْبَة,drink;drinking;sip;sipping;soup,,NOUN,
$.r.b,$aArib,1u2~A3,1u2~aA3,شَارِب,drinker,,NOUN,
$.r.b,$ur~aAb,1u2~A3,1u2~aA3,شُرَّاب,sock;stocking,,NOUN,
$.r.b,$ur~aAbap,1u2~A3+ap,1u2~aA3,شُرَّابَة,tassel;tuft,,NOUN,
$.r.b,$ur~aAbap,1a2A2iy3,1a2aA2iy3,شُرَّابَة,tassel;tuft,,NOUN,
$.r.b,ma$orabiy~ap,ma1o2a3+iy~ap,ma1o2a3iy~,مَشْرَبِيَّة,mashrabiya;mashrabiya_(oriel_window),,NOUN,
$.r.b,$aArib,1A2i3,1aA2i3,شَارِب,drinking,,ADJ,
$.r.b,$ar~aAb,1a2~A3,1a2~aA3,شَرَّاب,imbiber,,ADJ,
$.r.b,$ariyb,1a2iy3,1a2iy3,شَرِيب,drikable;potable,,ADJ,
$.r.b,$ir~iyb,1i2~iy3,1i2~iy3,شِرِّيب,drunkard,,ADJ,
$.r.b,mu$aworab,mu1awo2a3,mu1awo2a3,مُشَوْرَب,mustachioed,,ADJ,
$.r.b,$.r.b,ROOT,ROOT,ش.ر.ب,,,ROOT,
$.y.m,$aAm,1a2a3_INTRANS,1aA3,شَام,be_on_the_lookout_for;expect,intrans,VERB,
$.y.m,$aAm,1a2a3_INTRANS,1i3,شَام,be_on_the_lookout_for;expect,intrans,VERB,
$.y.m,ma$iymap,ma1A2i3,ma1aA2i3,مَشِيمَة,chorion;placenta,,NOUN,
$.y.m,$iymap,1i2a3,1i2a3,شِيمَة,natural_characteristic;natural_disposition;trait,,NOUN,
$.y.m,$aAmap,1a2a3+ap,1aA3,شَامَة,birthmark;mole,,NOUN,
$.y.m,$iymap,1i2o3+ap,1i23,شِيمَة,natural_characteristic;natural_disposition;trait,,NOUN,
$.y.m,ma$iymap,ma1o2i3+ap,ma1i23,مَشِيمَة,chorion;placenta,,NOUN,
$.y.m,$.y.m,ROOT,ROOT,ش.ي.م,,,ROOT,
$.y.T,{isota$aAT,{isota1o2a3,{isota1a3,ٱِسْتَشَاط,be_enraged;flare_up,trans,VERB,
$.y.T,{isota$aAT,{isota1o2a3,{isota1aA3,ٱِسْتَشَاط,be_enraged;flare_up,trans,VERB,
$.y.T,>a$aAT,>a1o2a3,>a1a3,أَشَاط,scorch;sear,trans,VERB,
$.y.T,>a$aAT,>a1o2a3,>a1aA3,أَشَاط,scorch;sear,trans,VERB,
$.y.T,$aAT,1a2a3_INTRANS,1i3,شَاط,be_burned,intrans,VERB,
$.y.T,$aAT,1a2a3_INTRANS,1aA3,شَاط,be_burned,intrans,VERB,
$.y.T,$ay~aT,1a2~a3,1a2~a3,شَيَّط,scorch;sear,trans,VERB,
$.y.T,ta$ay~aT,ta1a2~a3_INTRANS,ta1a2~a3,تَشَيَّط,be_burned,intrans,VERB,
$.y.T,ta$oyiyT,ta1o2iy3,ta1o2iy3,تَشْيِيط,burning,,NOUN,
$.y.T,<i$aATap,<i1o2A3+ap,<i1aA3,إِشَاطَة,burning,,NOUN,
$.y.T,{isoti$aATap,{isoti1o2A3+ap,{isoti1aA3,ٱِسْتِشَاطَة,burning,,NOUN,
$.y.T,mu$ay~aT,mu1a2~a3,mu1a2~a3,مُشَيَّط,burned,,ADJ,
$.y.T,$.y.T,ROOT,ROOT,ش.ي.ط,,,ROOT,
b.d.E,{ibotadaE,{i1ota2a3,{i1ota2a3,ٱِبْتَدَع,contrive;invent,trans,VERB,
b.d.E,{isotabodaE,{isota1o2a3,{isota1o2a3,ٱِسْتَبْدَع,find_extraordinary;find_strange,trans,VERB,
b.d.E,>abodaE,>a1o2a3,>a1o2a3,أَبْدَع,create;innovate,trans,VERB,
b.d.E,bad~aE,1a2~a3,1a2~a3,بَدَّع,excel,trans,VERB,
b.d.E,badaE,1a2a3,1a2a3,بَدَع,innovate;invent,trans,VERB,
b.d.E,badoE,1a2o3,1a2o3,بَدْع,creation;innovation,,NOUN,
b.d.E,bidoE,>a1o2A3,>a1o2aA3,بِدْع,novelty;original;wonder,,NOUN,
b.d.E,badiyE,1a2iy3,1a2iy3,بَدِيع,marvelous;wonderful,,NOUN,
b.d.E,badiyEap,1a2iy3+ap,1a2iy3,بَدِيعَة,marvel;wonder,,NOUN,
b.d.E,bidoE,1i2o3,1i2o3,بِدْع,novelty;original;wonder,,NOUN,
b.d.E,bidoEap,1i2o3+ap,1i2o3,بِدْعَة,heresy;novelty,,NOUN,
b.d.E,badiyEap,1a2A}i3,1a2aA}i3,بَدِيعَة,marvel;wonder,,NOUN,
b.d.E,{ibotidaAE,{i1oti2A3,{i1oti2aA3,ٱِبْتِدَاع,innovation,,NOUN,
b.d.E,<ibodaAE,<i1o2A3,<i1o2aA3,إِبْدَاع,creativity;originality,,NOUN,
b.d.E,bidoEap,1i2a3,1i2a3,بِدْعَة,heresy;novelty,,NOUN,
b.d.E,mubodiE,mu1o2i3,mu1o2i3,مُبْدِع,creative;innovator,,NOUN,
b.d.E,mubotadiE,mu1ota2i3,mu1ota2i3,مُبْتَدِع,creative;innovator,,NOUN,
b.d.E,<ibodaAEiy~,<i1o2A3+iy~,<i1o2aA3iy~,إِبْدَاعِيّ,creative;original,,ADJ,
b.d.E,badiyEiy~,1a2iy3+iy~,1a2iy3iy~,بَدِيعِيّ,rhetorical,,ADJ,
b.d.E,>abodaE,>a1o2a3,NI,أَبْدَع,more/most_amazing,,ADJ_COMP,
b.d.E,b.d.E,ROOT,ROOT,ب.د.ع,,,ROOT,
b.s.T,{inobasaT,{ino1a2a3,{ino1a2a3,ٱِنْبَسَط,be_happy;have_fun;spread_out;stretch,trans,VERB,
b.s.T,bas~aT,1a2~a3,1a2~a3,بَسَّط,simplify;spread,trans,VERB,
b.s.T,baAsaT,1A2a3_INTRANS,1aA2a3,بَاسَط,be_sincere;speak_openly,intrans,VERB,
b.s.T,basaT,1a2a3,1a2a3,بَسَط,extend;spread,trans,VERB,
b.s.T,basuT,1a2a3_INTRANS,1a2u3,بَسُط,be_simple,intrans,VERB,
b.s.T,tabas~aT,ta1a2~3_INTRANS,ta1a2~a3,تَبَسَّط,be_frank;be_simple,intrans,VERB,
b.s.T,basoT,1a2o3,1a2o3,بَسْط,extension;spreading,,NOUN,
b.s.T,basoTap,1a2o3+ap,1a2o3,بَسْطَة,exposition;extension,,NOUN,
b.s.T,basoTap,1a2a3-At,1a2a3,بَسْطَة,exposition;extension,,NOUN,
b.s.T,bisaAT,1i2A3,1i2aA3,بِسَاط,carpet;dais;platform,,NOUN,
b.s.T,tabosiyT,ta1o2iy3,ta1o2iy3,تَبْسِيط,simplification,,NOUN,
b.s.T,basiyTap,1a2iy3+ap,1a2iy3,بَسِيطَة,basic_fact;element;no_problem;okay;planet_earth,,NOUN,
b.s.T,tabas~uT,ta1a2~u3,ta1a2~u3,تَبَسُّط,candor;frankness,,NOUN,
b.s.T,basiyTap,1a2A}i3,1a2aA}i3,بَسِيطَة,basic_fact;element;no_problem;okay;planet_earth,,NOUN,
b.s.T,bisaAT,1u2u3,1u2u3,بِسَاط,carpet;dais;platform,,NOUN,
b.s.T,bisaAT,>a1o2i3-ap,>a1o2i3,بِسَاط,carpet;dais;platform,,NOUN,
b.s.T,{inobisaAT,{ino1i2A3,{ino1i2aA3,ٱِنْبِسَاط,cheerfulness;extension,,NOUN,
b.s.T,{inobisaATap,{ino1i2A3+ap,{ino1i2aA3,ٱِنْبِسَاطَة,extension,,NOUN,
b.s.T,>ubosuwTap,>a1A2iy3,>a1aA2iy3,أُبْسُوطَة,wheel_rim,,NOUN,
b.s.T,>ubosuwTap,>u1o2uw3+ap,>u1o2uw3,أُبْسُوطَة,wheel_rim,,NOUN,
b.s.T,munobasaT,muno1a2a3,muno1a2a3,مُنْبَسَط,flat;level,,NOUN,
b.s.T,<ibosiyT,<i1o2iy3,<i1o2iy3,إِبْسِيط,wheel_rim,,NOUN,
b.s.T,munobasiT,muno1a2i3,muno1a2i3,مُنْبَسِط,cheerful,,NOUN,
b.s.T,basiyT,1a2iy3,1a2iy3,بَسِيط,plain;simple,,ADJ,
b.s.T,basiyT,1u2a3A',1u2a3aA,بَسِيط,plain;simple,,ADJ,
b.s.T,mabosuwT,ma1o2uw3,ma1o2uw3,مَبْسُوط,cheerful,,ADJ,
b.s.T,mubas~aT,mu1a2~a3,mu1a2~a3,مُبَسَّط,simplified;simplistic,,ADJ,
b.s.T,>abosaT,>a1o2a3,NI,أَبْسَط,most_basic;simpler/simplest,,ADJ_COMP,
b.s.T,b.s.T,ROOT,ROOT,ب.س.ط,,,ROOT,
D.>.l,Da&ul,1a2a3_INTRANS,1a2u3,ضَؤُل,be_meager;be_sparse;dwindle,intrans,VERB,
D.>.l,taDaA'al,ta1A2a3,ta1aA2a3,تَضَاءَل,decline;decrease;dwindle,trans,VERB,
D.>.l,Du&uwlap,1u2uw3+ap,1u&uw3,ضُؤُولَة,paucity;scarcity,,NOUN,
D.>.l,Di}aAlap,1i2A3+ap,1i}aA3,ضِئَالَة,paucity;scarcity,,NOUN,
D.>.l,Da|lap,1a2A3+ap,1a|3,ضَآلَة,paucity;scarcity,,NOUN,
D.>.l,taDaA&ul,ta1A2u3,ta1aA&u3,تَضَاؤُل,lack;paucity;scarcity,,NOUN,
D.>.l,Da}iyl,1a2iy3,1a}iy3,ضَئِيل,meager;small;sparse,,ADJ,
D.>.l,Da}iyl,1i2A3,1i}aA3,ضَئِيل,meager;small;sparse,,ADJ,
D.>.l,Da}iyl,1u2a3A',1u&a3aA,ضَئِيل,meager;small;sparse,,ADJ,
D.>.l,mutaDaA}il,muta1A2i3,muta1aA}i3,مُتَضَائِل,declining;decreasing;dwindling,,ADJ,
D.>.l,>aDo>al,>a1o2a3,NI,أَضْأَل,smaller/smallest,,ADJ_COMP,
D.>.l,D.>.l,ROOT,ROOT,ض.أ.ل,,,ROOT,
d.f.q,{inodafaq,{ino1a2a3,{ino1a2a3,ٱِنْدَفَق,burst_out;pour_out;rush_out,trans,VERB,
d.f.q,dafaq,1a2a3,1a2a3,دَفَق,pour_out;rush_out,trans,VERB,
d.f.q,dafaq,1a2a3,1a2a3,دَفَق,pour_out;rush_out,trans,VERB,
d.f.q,tadaf~aq,ta1a2~3,ta1a2~a3,تَدَفَّق,burst_out;pour_out;rush_out,trans,VERB,
d.f.q,dafoq,1a2o3,1a2o3,دَفْق,effusion;pouring_out,,NOUN,
d.f.q,dufuwq,1u2uw3,1u2uw3,دُفُوق,effusion;pouring_out,,NOUN,
d.f.q,daf~aAq,1a2~A3,1a2~aA3,دَفَّاق,bursting_forth;rushing_out,,NOUN,
d.f.q,dufoqap,1u2o3+ap,1u2o3,دُفْقَة,gush;gust,,NOUN,
d.f.q,tadaf~uq,ta1a2~u3,ta1a2~u3,تَدَفُّق,effusion;outburst;outpour,,NOUN,
d.f.q,d.f.q,ROOT,ROOT,د.ف.ق,,,ROOT,
d.l.y,>adolaY,>a1o2a3,>a1o2,أَدْلَى,grant;present;provide,#-ay trans,VERB,
d.l.y,dal~aY,1a2~a3,1a2~,دَلَّى,dangle;lower;suspend,#-ay trans,VERB,
